"Trait","Number of DGRP lines measured","Sex","Trait guild","Trait description","Reference"
"startle.sensitivity.msb.f","192","Female","Drug response","Mean difference in startle response between flies reared on medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration) and flies reared on standard medium. Calculated as the difference between control and MSB conditions, divided by the population mean difference between control and MSB conditions. MSB facilitates oxidative stress induced mortality. Higher values indicate a greater sensitivity to oxidative stress and a more compromised startle response.","Jordan et al (2012) PLOS One"
"startle.sensitivity.msb.m","192","Male","Drug response","Mean difference in startle response between flies reared on medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration) and flies reared on standard medium. Calculated as the difference between control and MSB conditions, divided by the population mean difference between control and MSB conditions. MSB facilitates oxidative stress induced mortality. Higher values indicate a greater sensitivity to oxidative stress and a more compromised startle response.","Jordan et al (2012) PLOS One"
"starvation.resistance.2012.f","203","Female","Life history","Mean hours survived in culture vials containing non-nutritive medium. Higher values indicate greater starvation resistance.","Mackay et al (2012) Nature"
"starvation.resistance.2012.m","203","Male","Life history","Mean hours survived in culture vials containing non-nutritive medium. Higher values indicate greater starvation resistance.","Mackay et al (2012) Nature"
"starvation.resistance.2017.m","201","Male","Life history","Adult mean survival in the absence of food after two days is here used as a measure of starvation resistance. Higher values indicate greater survival and therefore higher starvation resistance.","Lee et al (2017) Genome Biology and Evolution"
"starvation.resistance.2019.f","168","Female","Life history","Mean hours survived on inedible food medium, used as a measure of starvation resistance. Higher values indicate flies that exhibited greater starvation resistance.","Everman et al (2019) Genetics"
"starvation.resistance.2019.m","168","Male","Life history","Mean hours survived on inedible food medium, used as a measure of starvation resistance. Higher values indicate flies that exhibited greater starvation resistance.","Everman et al (2019) Genetics"
"starvation.resistance.high.carb.diet.m","178","Male","Stress resistance","Survival time in hours for adult flies that were first flies maintained on a high carbohydrate diet (carbs:494.15g/L, protein:52g/L, fat:2.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.","Francis et al (2021) G3"
"starvation.resistance.high.fat.diet.m","177","Male","Stress resistance","Survival time in hours for adult flies that were first flies maintained on a high fat diet (carbs:44.15g/L, protein:52g/L, fat:17.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.","Francis et al (2021) G3"
"starvation.resistance.high.protein.diet.m","178","Male","Stress resistance","Survival time in hours for adult flies that were first flies maintained on a high protein diet (carbs:44.15g/L, protein:52g/L, fat:2.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.","Francis et al (2021) G3"
"starvation.resistance.larvae","129","Both","Stress resistance","Mean hours survived for larvae subjected to nutrient poor starvation medium (20% sucrose in PBS solution). Higher values indicate greater starvation resistance.","Akcay (2017) Thesis"
"starvation.resistance.old.f","159","Female","Life history","Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 28-days old. Higher values indicate flies that exhibited greater starvation resistance.","Everman and Morgan (2017) Evolution"
"starvation.resistance.old.m","159","Male","Life history","Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 28-days old. Higher values indicate flies that exhibited greater starvation resistance.","Everman and Morgan (2017) Evolution"
"starvation.resistance.standard.diet.m","178","Male","Stress resistance","Survival time in hours for adult flies that were first flies maintained on the laboratories standard diet (carbs:119.15g/L, protein:52g/L, fat:2.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.","Francis et al (2021) G3"
"starvation.resistance.variance.f","197","Female","Life history","Mean variance (the log of the within line standard deviation; ln(σE)) in the hours flies survived in culture vials containing non-nutritive medium. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable starvation resistance response, and therefore greater micro-environmental plasticity. Note that the data presented in this study were originally collected by Mackay et al (2012).","Morgante et al (2015) Scientific Reports"
"starvation.resistance.variance.m","197","Male","Life history","Mean variance (the log of the within line standard deviation; ln(σE)) in the hours flies survived in culture vials containing non-nutritive medium. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable starvation resistance response, and therefore greater micro-environmental plasticity. Note that the data presented in this study were originally collected by Mackay et al (2012).","Morgante et al (2015) Scientific Reports"
"starvation.resistance.yeast.poor.diet.f","171","Female","Stress resistance","Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared on food with 0.5% yeast content (dietary restricted).  Higher values indicate flies that exhibited greater starvation resistance.","Nelson et al (2016) BMC Genomics"
"starvation.resistance.yeast.rich.diet.f","171","Female","Stress resistance","Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared on food with 5% yeast content (ab libitum diet).  Higher values indicate flies that exhibited greater starvation resistance.","Nelson et al (2016) BMC Genomics"
"starvation.resistance.young.f","159","Female","Life history","Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 7-days old. Higher values indicate flies that exhibited greater starvation resistance.","Everman and Morgan (2017) Evolution"
"starvation.resistance.young.m","159","Male","Life history","Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 7-days old.  Higher values indicate flies that exhibited greater starvation resistance.","Everman and Morgan (2017) Evolution"
"Streptococcus.pneumoniae.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Streptococcus.pneumoniae.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Streptococcus.salivarius.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Streptococcus.salivarius.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Streptomyces.griseoflavus.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Streptomyces.griseoflavus.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Streptomyces.pristinaespiralis.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Streptomyces.pristinaespiralis.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Streptomyces.sp..f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Streptomyces.sp..m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"succinate.high.yeast.f","178","Female","Metabolome","Mean relative succinate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"succinate.low.yeast.f","178","Female","Metabolome","Mean relative succinate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"sucrose.high.yeast.f","178","Female","Metabolome","Mean relative sucrose concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"sucrose.low.yeast.f","178","Female","Metabolome","Mean relative sucrose concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"Sum.of Non-Wolbachia Species.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Sum.of Non-Wolbachia Species.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"T1.femur.f","117","Female","Morphological","Mean femur length, for legs originating on the first thoracic segment. Higher values indicate longer femurs","Grubbs et al (2013) PLOS One"
"T1.femur.m","117","Male","Morphological","Mean femur length, for legs originating on the first thoracic segment. Higher values indicate longer femurs","Grubbs et al (2013) PLOS One"
"T1.leg.length.f","117","Female","Morphological","Mean leg length for legs originating on the first thoracic segment. Higher values indicate longer legs","Grubbs et al (2013) PLOS One"
"T1.leg.length.m","117","Male","Morphological","Mean leg length for legs originating on the first thoracic segment. Higher values indicate longer legs","Grubbs et al (2013) PLOS One"
"T1.tarsus.f","117","Female","Morphological","Mean tarsus length, for legs originating on the first thoracic segment. Higher values indicate longer tarsus'.","Grubbs et al (2013) PLOS One"
"T1.tarsus.m","117","Male","Morphological","Mean tarsus length, for legs originating on the first thoracic segment. Higher values indicate longer tarsus'.","Grubbs et al (2013) PLOS One"
"T1.tibia.f","117","Female","Morphological","Mean tibia length, for legs originating on the first thoracic segment. Higher values indicate longer tibias","Grubbs et al (2013) PLOS One"
"T1.tibia.m","117","Male","Morphological","Mean tibia length, for legs originating on the second thoracic segment. Higher values indicate longer tibias","Grubbs et al (2013) PLOS One"
"T2.femur.f","117","Female","Morphological","Mean femur length, for legs originating on the second thoracic segment. Higher values indicate longer femurs","Grubbs et al (2013) PLOS One"
"T2.femur.m","117","Male","Morphological","Mean femur length, for legs originating on the second thoracic segment. Higher values indicate longer femurs","Grubbs et al (2013) PLOS One"
"T2.leg.length.f","117","Female","Morphological","Mean leg length for legs originating on the second thoracic segment. Higher values indicate longer legs","Grubbs et al (2013) PLOS One"
"T2.leg.length.m","117","Male","Morphological","Mean leg length for legs originating on the second thoracic segment. Higher values indicate longer legs","Grubbs et al (2013) PLOS One"
"T2.tarsus.f","117","Female","Morphological","Mean tarsus length, for legs originating on the second thoracic segment. Higher values indicate longer tarsus'.","Grubbs et al (2013) PLOS One"
"T2.tarsus.m","117","Male","Morphological","Mean tarsus length, for legs originating on the second thoracic segment. Higher values indicate longer tarsus'.","Grubbs et al (2013) PLOS One"
"T2.tibia.f","117","Female","Morphological","Mean tibia length, for legs originating on the second thoracic segment. Higher values indicate longer tibias","Grubbs et al (2013) PLOS One"
"T2.tibia.m","117","Male","Morphological","Mean tibia length, for legs originating on the second thoracic segment. Higher values indicate longer tibias","Grubbs et al (2013) PLOS One"
"TAG_glycerol.microbiome.effect.m","57","Male","Microbiome","Mean change in the combined triglycerdie content after glycerol substraction of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota resulted in a higher TAG content. Note though that the presence of micriobiota on average decreased TAG content.","Dobson et al (2015) Nature Communications"
"tapped.same.sex.m","50","Male","Behavioural","Incidence of a male being tapped by an interacting male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of being tapped.","Bailey and Hoskins (2014) Evolution"
"tapping.same.sex.m","50","Male","Behavioural","Male tapping; in this case when a male brings the tarsus of a foreleg into contact with another male. Higher values indicate a greater incidence of tapping.","Bailey and Hoskins (2014) Evolution"
"taurine.high.yeast.f","178","Female","Metabolome","Mean relative taurine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"taurine.low.yeast.f","178","Female","Metabolome","Mean relative taurine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"tergite5.f","175","Female","Morphological","Mean pigmentation scores for tergite 5. Higher values indicate higher percentages of brown/black melanin on the tergite.","Dembeck et al (2015) PLOS Genetics"
"tergite6.f","175","Female","Morphological","Mean pigmentation scores for tergite 6. Higher values indicate higher percentages of brown/black melanin on the tergite.","Dembeck et al (2015) PLOS Genetics"
"Terriglobus.roseus.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Terriglobus.roseus.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"thorax.length.18C.f","194","Female","Morphological","Mean adult thorax length when reared at 18C. Higher values indicate larger flies.","Lafuente, Duneau and Beldade (2018) PLOS Genetics"
"thorax.length.28C.f","196","Female","Morphological","Mean adult thorax length when reared at 28C. Higher values indicate larger flies.","Lafuente, Duneau and Beldade (2018) PLOS Genetics"
"thorax.length.f","39","Female","Morphological","Mean thorax length (mm). The authors use this as a proxy for body size. Higher values indicate a longer thorax.","Zhou et al (2019) Genome Research"
"thorax.length.m","39","Male","Morphological","Mean thorax length (mm). The authors use this as a proxy for body size. Higher values indicate a longer thorax.","Zhou et al (2019) Genome Research"
"thorax.length.thermal.plasticity.f","191","Female","Morphological","Flies were reared at 18C and 28C, after which adult thorax lengths were measured. Reaction norms for each DGRP line were calculated using the linear model lm (Size ~ Temperature). The absolute value of the slope is a measurement of thermal sensitivity, describing the magnitude of the plastic response to temperature. Higher values indicate greater thermal plasticity.","Lafuente, Duneau and Beldade (2018) PLOS Genetics"
"thorax.width.f","39","Female","Morphological","Mean thorax width (mm). The authors use this as a proxy for body size. Higher values indicate a wider thorax.","Zhou et al (2019) Genome Research"
"thorax.width.m","39","Male","Morphological","Mean thorax width (mm). The authors use this as a proxy for body size. Higher values indicate a wider thorax.","Zhou et al (2019) Genome Research"
"threonine.high.yeast.f","178","Female","Metabolome","Mean relative threonine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"threonine.low.yeast.f","178","Female","Metabolome","Mean relative threonine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"traumatic.injury.mortality","178","Both","Stress resistance","The mean percentage of flies that died within 24 hours, after suffering traumatic injury. Higher values indicate greater mortality.","Katzenberger et al (2015) eLife"
"Tremella.mesenterica.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Tremella.mesenterica.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"triacylglycerol.2018.f","36","Female","Metabolome","Mean quantity of triacylglycerol per adult fly. Higher values indicate a higher triacylglycerol content.","Jehrke et al (2018) Scientific Reports"
"triacylglycerol.2018.m","36","Male","Metabolome","Mean quantity of triacylglycerol per adult fly. Higher values indicate a higher triacylglycerol content.","Jehrke et al (2018) Scientific Reports"
"triacylglycerol.larvae.2018","35","Both","Metabolome","Mean quantity of triacylglycerol per third instar larvae. Higher values indicate a higher triacylglycerol content.","Jehrke et al (2018) Scientific Reports"
"triglyceride.2015.m","145","Male","Metabolome","Estimated mass of total trigylcerides per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.","Unckless, Rottschaefer and Lazzaro (2015) G3"
"triglyceride.2019.f","40","Female","Metabolome","Mean triglyceride (mg/ul) extracted from 10 flies. Higher values indicate greater levels of triglyceride.","Zhou et al (2019) Genome Research"
"triglyceride.2019.m","40","Male","Metabolome","Mean triglyceride (mg/ul) extracted from 10 flies. Higher values indicate greater levels of triglyceride.","Zhou et al (2019) Genome Research"
"triglyceride.anexic.m","79","Male","Metabolome","Mean combined triglyceride (TAG) content after glycerol substraction extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher TAG content.","Dobson et al (2015) Nature Communications"
"triglyceride.gnotobiotic.m","85","Male","Metabolome","Mean combined triglyceride (TAG) content after glycerol substraction extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher TAG content.","Dobson et al (2015) Nature Communications"
"triglyceride.high.glucose.diet.m","147","Male","Metabolome","Mean triglycerides (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of triglycerides.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
"triglyceride.low.glucose.diet.m","150","Male","Metabolome","Mean triglycerides (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of triglycerides.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
"triglyceride.medium.glucose.diet.m","152","Male","Metabolome","Mean triglycerides (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of triglycerides.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
"triglyceride.poor.diet.f","172","Female","Metabolome","Mean quantity of triglyceride extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 0.5% yeast content (dietary restricted) were homogenised. Higher values indicate higher triglyceride levels.","Nelson et al (2016) BMC Genomics"
"triglyceride.yeast.rich.diet.f","172","Female","Metabolome","Mean quantity of triglyceride extracted from whole fly homogenate and standardised for body size. Three flies reared on food with 5% yeast content (ab libitum diet) were homogenised. Higher values indicate higher triglyceride levels.","Nelson et al (2016) BMC Genomics"
"trimethylamine.high.yeast.f","178","Female","Metabolome","Mean relative trimethylamine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"trimethylamine.low.yeast.f","178","Female","Metabolome","Mean relative trimethylamine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"tryptophan.high.yeast.f","178","Female","Metabolome","Mean relative tryptophan concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"tryptophan.low.yeast.f","178","Female","Metabolome","Mean relative tryptophan concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"tunicamycin.ER.stress.m","111","Male","Drug response","The hazard ratio of the death rate of male flies exposed to tunicamycin - an endoplasmic reticulum (ER) stress inducing drug – with the control group, fed drug free media. Higher values indicate greater ER stress and lower survival of flies exposed to tunicamycin.","Chow, Wolfner and Clark (2013) PNAS"
"tunicamycin.LT50.m","112","Male","Drug response","Mean time required for 50% of male flies exposed to tunicamycin (TM) media to die. TM is an antibiotic that causes endoplasmic reticulum (ER) stress. Higher values indicate longer survival times and greater resistance to ER stress.","Chow, Wolfner and Clark (2013) PNAS"
"tyrosine.high.yeast.f","178","Female","Metabolome","Mean relative tyrosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"tyrosine.low.yeast.f","178","Female","Metabolome","Mean relative tyrosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"unfertilised.eggs.post.mating","91","Both","Reproduction","Proportion of unfertilised eggs produced by 3-4 flies that had been allowed to mate for at least two days beforehand. Note that flies were kept in population cages that contained both sexes from the same line during the mating period. This means that genetic variance in this trait variation could be explained by either the male or female genotype. Higher values indicate a greater proportion of unfertilised eggs.","Horvath and Kalinka (2018) Evolution"
"uracil.high.yeast.f","178","Female","Metabolome","Mean relative uracil concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"uracil.low.yeast.f","178","Female","Metabolome","Mean relative uracil concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"urate.high.yeast.f","178","Female","Metabolome","Mean relative urate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"urate.low.yeast.f","178","Female","Metabolome","Mean relative urate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"uridine.high.yeast.f","178","Female","Metabolome","Mean relative uridine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"uridine.low.yeast.f","178","Female","Metabolome","Mean relative uridine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"valine.high.yeast.f","178","Female","Metabolome","Mean relative valine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"valine.low.yeast.f","178","Female","Metabolome","Mean relative valine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"virgin.egg.retention.f","90","Female","Reproduction","Mean unfertilised egg retention time, measured as the number of days before a virgin female laid her first egg. Higher values indicate a longer retention time.","Akhund-Zade et al (2017) Journal of Insect Science"
"waking.activity.f","168","Female","Activity","Mean number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Higher values indicate more active lines.","Harbison, McCoy and Mackay (2013) BMC Genomics"
"waking.activity.m","168","Male","Activity","Mean number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Higher values indicate more active lines.","Harbison, McCoy and Mackay (2013) BMC Genomics"
"waking.activity.SD.f","167","Female","Activity","Standard deviation for the number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more variable within-individual activity. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).","Wu et al (2018) SLEEPJ"
"waking.activity.SD.m","167","Male","Activity","Standard deviation for the number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more variable within-individual activity. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).","Wu et al (2018) SLEEPJ"
"week1.fecundity.25C.f","189","Female","Reproduction","Mean fecundity in the first week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity.","Durham et al (2014) Nature Communications"
"week3.fecundity.25C.f","189","Female","Reproduction","Mean fecundity in the third week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity.","Durham et al (2014) Nature Communications"
"week5.fecundity.25C.f","178","Female","Reproduction","Mean fecundity in the fifth week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity. Note that female's were eliminated form the analysis upon death.","Durham et al (2014) Nature Communications"
"week7.fecundity.25C.f","135","Female","Reproduction","Mean fecundity in the seventh week of a female's adult life, measured as a 2-day total of eggs laid, when living with a single standard male, at 25C. Higher values indicate greater fecundity. Note that female's were eliminated form the analysis upon death.","Durham et al (2014) Nature Communications"
"weight.anexic.m","94","Male","Metabolome","Mean combined dry weight of 5 adult flies that lacked a microbiome. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate heavier flies.","Dobson et al (2015) Nature Communications"
"weight.gnotobiotic.m","96","Male","Metabolome","Mean combined dry weight of 5 adult flies that possessed a microbiome. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate heavier flies.","Dobson et al (2015) Nature Communications"
"weight.high.glucose.diet.m","147","Male","Morphological","Mean weight (mg) of live flies that were reared on a diet containing 10% glucose. Higher values indicate heavier flies.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
"weight.low.glucose.diet.m","150","Male","Morphological","Mean weight (mg) of live flies that were reared on a diet containing 2.5% glucose. Higher values indicate heavier flies.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
"weight.medium.glucose.diet.m","152","Male","Morphological","Mean weight (mg) of live flies that were reared on a diet containing 5% glucose. Higher values indicate heavier flies.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
"weight.microbiome.effect.m","82","Male","Microbiome","Mean change in the combined dry weight of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota had a greater positive effect on weight. Note that the presence of micriobiota on average increased dry weight.","Dobson et al (2015) Nature Communications"
"wet.weight.m","145","Male","Morphological","Mean mass. Higher values indicate heavier flies.","Unckless, Rottschaefer and Lazzaro (2015) G3"
"wing.centroid.size.2019_Dworkin.f","171","Female","Morphological","Mean wing centroid size for flies measured in the Dworkin lab. Higher values indicate larger wings.","Pitchers et al (2019) Evolution"
"wing.centroid.size.2019_Dworkin.m","172","Male","Morphological","Mean wing centroid size for flies measured in the Dworkin lab. Higher values indicate larger wings.","Pitchers et al (2019) Evolution"
