Trait,Sex,Trait guild,Trait description,Reference
mevalonolactone.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
myo-inositol.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
myo-inositol.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
myristate (14:0).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
myristate (14:0).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
myristoleate (14:1n5).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
myristoleate (14:1n5).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
myristoylcarnitine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
myristoylcarnitine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetyl-1-methylhistidine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetyl-1-methylhistidine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetyl-beta-alanine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetyl-beta-alanine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetyl-glucosamine 1-phosphate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetyl-glucosamine 1-phosphate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylalanine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylalanine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylarginine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylarginine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylasparagine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylasparagine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylaspartate (NAA).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylaspartate (NAA).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylcysteine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylcysteine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylglucosamine 6-phosphate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylglucosamine 6-phosphate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylglucosamine_N-acetylgalactosamine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylglucosamine_N-acetylgalactosamine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylglutamate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylglutamate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylglutamine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylglutamine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylglycine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylglycine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylhistamine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylhistamine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylhistidine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylhistidine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylleucine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylleucine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylmethionine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylmethionine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylmethionine sulfoxide.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylmethionine sulfoxide.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylphenylalanine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylphenylalanine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylputrescine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylputrescine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylserine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylserine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetyltaurine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetyltaurine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylthreonine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylthreonine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylvaline.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-acetylvaline.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-alpha-acetylornithine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-alpha-acetylornithine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-delta-acetylornithine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-delta-acetylornithine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-methylalanine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-methylalanine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-monomethylarginine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-monomethylarginine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-palmitoyl-sphinganine (d18:0_16:0).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-palmitoyl-sphinganine (d18:0_16:0).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-palmitoyl-sphingosine (d18:1_16:0).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N-palmitoyl-sphingosine (d18:1_16:0).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N1-methyladenosine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N1-methyladenosine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N1-methylinosine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N1-methylinosine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"N2,N2-dimethylguanine.f",Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"N2,N2-dimethylguanine.m",Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"N2,N2-dimethylguanosine.f",Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"N2,N2-dimethylguanosine.m",Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N6-acetyllysine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N6-acetyllysine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N6-carboxymethyllysine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N6-carboxymethyllysine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N6-succinyladenosine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
N6-succinyladenosine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"N6,N6-dimethyladenosine.f",Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"N6,N6-dimethyladenosine.m",Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"N6,N6,N6-trimethyllysine.f",Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
"N6,N6,N6-trimethyllysine.m",Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
nicotinamide.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
nicotinamide.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
nicotinamide ribonucleotide (NMN).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
nicotinamide ribonucleotide (NMN).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
nicotinamide riboside.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
nicotinamide riboside.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
nicotinate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
nicotinate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
nicotinate ribonucleoside.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
nicotinate ribonucleoside.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
nonadecanoate (19:0).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
nonadecanoate (19:0).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
O-sulfo-L-tyrosine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
O-sulfo-L-tyrosine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
oleate_vaccenate (18:1).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
oleate_vaccenate (18:1).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
oleoylcarnitine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
oleoylcarnitine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
oleoylcholine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
oleoylcholine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
ornithine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
ornithine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
orotate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
orotate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
oxalate (ethanedioate).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
oxalate (ethanedioate).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
oxaloacetate.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
oxaloacetate.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
palmitate (16:0).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
palmitate (16:0).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
palmitoleate (16:1n7).f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
palmitoleate (16:1n7).m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
palmitoleoylcarnitine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
palmitoleoylcarnitine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
palmitoloelycholine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
palmitoloelycholine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
palmitoylcarnitine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
palmitoylcarnitine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
palmitoylcholine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
palmitoylcholine.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
panose.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
panose.m,Male,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
pantethine.f,Female,Metabolome,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",Zhou et al (2020) Genome Research
