Trait,Sex,Trait guild,Trait description,Reference,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp
olfactory.response.L-carvone,Male,Sensory,"Mean number of flies that moved away from a cotton wool swab that had been dipped in l-Carvone solution. Higher values indicate avoidance of l-Carvone, lower values indicate attraction.",Arya et al (2015) Chemical Senses,0.49,0.04,0.53,0.92,0.14,0.22,0.11,0.41
olfactory.response.methylSalicylate,Female,Sensory,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Methyl salicylate solution. Higher values indicate avoidance of Methyl salicylate, lower values indicate attraction.",Arya et al (2015) Chemical Senses,0.29,0.41,0.71,0.42,0.17,0.31,0.16,0.32
olfactory.response.methylSalicylate,Male,Sensory,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Methyl salicylate solution. Higher values indicate avoidance of Methyl salicylate, lower values indicate attraction.",Arya et al (2015) Chemical Senses,0.29,0.43,0.72,0.4,0.16,0.31,0.16,0.3
orient.towards.female,Male,Behavioural,"Mean number of times a DGRP male orientated towards a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater number of orientations, and potentially more persistent courtship.",Gaertner et al (2015) G3,0,1.08,1.08,0,0.24,0.49,0.27,0.22
ornithine.high.yeast,Female,Metabolome,Mean relative ornithine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.43,0.13,0.56,0.76,0.13,0.22,0.12,0.35
ornithine.low.yeast,Female,Metabolome,Mean relative ornithine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.09,0.82,0.91,0.1,0.18,0.37,0.2,0.22
orotate.high.yeast,Female,Metabolome,Mean relative orotate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.42,0.17,0.59,0.72,0.15,0.26,0.13,0.39
orotate.low.yeast,Female,Metabolome,Mean relative orotate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.26,0.49,0.74,0.35,0.16,0.31,0.16,0.28
ovariole.asymmetry,Female,Morphological,Mean difference between the number of ovarioles in the right and left ovary. Higher values indicate greater asymmetry.,Lobell et al (2017) G3,0.25,0.5,0.74,0.33,0.13,0.25,0.14,0.23
ovariole.number,Female,Morphological,Mean number of ovarioles in the right and left ovary. Higher values indicate a greater number of ovarioles.,Lobell et al (2017) G3,0.33,0.34,0.67,0.49,0.12,0.22,0.12,0.25
oxaloacetate.high.yeast,Female,Metabolome,Mean relative oxaloacetate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.2,0.6,0.8,0.25,0.16,0.32,0.17,0.25
oxaloacetate.low.yeast,Female,Metabolome,Mean relative oxaloacetate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.18,0.64,0.81,0.22,0.13,0.26,0.15,0.2
oxypurinol.high.yeast,Female,Metabolome,Mean relative oxypurinol concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.17,0.66,0.83,0.21,0.19,0.38,0.2,0.28
oxypurinol.low.yeast,Female,Metabolome,Mean relative oxypurinol concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.12,0.75,0.88,0.14,0.16,0.32,0.18,0.2
P.aeruginosa.defecation,Female,Pathogen response,"Mean number of fecal spots detected after 20h for 10 flies, after exposure to the bacterial pathogen Pseudomos aeruginosa (Pa14). Higher values indicate more defecation.",Evangelou et al (2019) G3,0.3,0.4,0.7,0.43,0.18,0.34,0.18,0.35
P.aeruginosa.fecal.pH,Female,Pathogen response,Mean pH of fecal matter for flies after exposure to the bacterial pathogen Pseudomos aeruginosa (Pa14). Higher values indicate a higher pH.,Evangelou et al (2019) G3,0.22,0.56,0.77,0.28,0.16,0.31,0.17,0.25
P.aeruginosa.intestinal.mitosis,Female,Pathogen response,"Mean amount of intestinal mitosis, five days after exposure to the bacterial pathogen Pseudomos aeruginosa (Pa14). Higher values indicate a greater number of mitotic itensitinal cells.",Evangelou et al (2019) G3,0.11,0.78,0.89,0.12,0.19,0.39,0.21,0.24
P.aeruginosa.resistance.2017,Female,Pathogen response,Mean number of days required for 50% of 20 flies to die (LT50) when exposed to the bacterial pathogen Pseudomos aeruginosa (Pa14). Higher values indicate greater resistance to Pa14.,"Wang, Lu and St. Leger (2017) PLOS Pathogens",0,1.18,1.18,0,0.43,0.87,0.46,0.37
P.aeruginosa.resistance.2017,Male,Pathogen response,Mean number of days required for 50% of 20 flies to die (LT50) when exposed to the bacterial pathogen Pseudomos aeruginosa (Pa14). Higher values indicate greater resistance to Pa14.,"Wang, Lu and St. Leger (2017) PLOS Pathogens",0,1.53,1.53,0,0.78,1.53,0.79,0.51
P.aeruginosa.resistance.2019,Female,Pathogen response,Mean number of days required for 50% of flies in a vial to die (LT50) when exposed to the bacterial pathogen Pseudomos aeruginosa (Pa14). Higher values indicate greater resistance to Pa14.,Evangelou et al (2019) G3,0,1.2,1.2,0,0.29,0.58,0.32,0.24
P.entomophila.resistance,Female,Pathogen response,"Mean percentage of flies dying after 3 days post infection with P.entomophila L48, an entomopathogenic bacterium. Higher values indicate greater mortality.",Bou Sleiman et al (2015) Nature Communications,0.07,0.86,0.93,0.07,0.23,0.47,0.25,0.27
P.rettgeri.load,Female,Pathogen response,"Mean colony forming units (CFU) produced from the homogenate of three pooled flies, 20 hours after infection with P. rettgeri, a bacterial pathogen. Higher values indicate a greater bacterial load.",Howick and Lazzaro (2017) Molecular Ecology,0.38,0.25,0.63,0.6,0.17,0.31,0.16,0.4
P.rettgeri.load.high.glucose.diet,Male,Pathogen response,"Mean ln(bacterial load) per fly, 24 hours after infection with P. rettgeri, a bacterial pathogen. Prior to infection, flies were reared on a diet containing 10% glucose. Higher values indicate a greater bacterial load.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",0.34,0.33,0.68,0.51,0.19,0.35,0.18,0.4
P.rettgeri.load.low.glucose.diet,Male,Pathogen response,"Mean ln(bacterial load) per fly, 24 hours after infection with P. rettgeri, a bacterial pathogen. Prior to infection, flies were reared on a diet containing 2.5% glucose. Higher values indicate a greater bacterial load.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",0.2,0.63,0.82,0.24,0.21,0.41,0.22,0.31
P.rettgeri.load.medium.glucose.diet,Male,Pathogen response,"Mean ln(bacterial load) per fly, 24 hours after infection with P. rettgeri, a bacterial pathogen. Prior to infection, flies were reared on a diet containing 5% glucose. Higher values indicate a greater bacterial load.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",0.3,0.43,0.73,0.41,0.2,0.37,0.2,0.36
P.rettgeri.resistance,Female,Pathogen response,"Mean proportion of flies surviving infection, two days after inoculation with the bacterial pathogen P. rettgeri. Higher values indicate greater resistance to P. rettgeri.",Howick and Lazzaro (2017) Molecular Ecology,0.38,0.26,0.63,0.59,0.17,0.31,0.16,0.39
P.rettgeri.tolerance,Female,Pathogen response,"A general, nonlinear relationship between the proportion of flies surviving two days post infection and sustained pathogen load, after injection with the bacterial pathogen P. rettgeri, was predicted. The data presented here are the line deviations from the predicted relationship between survival and bacterial load. Positive values indicate a greater tolerance to P. rettgeri.",Howick and Lazzaro (2017) Molecular Ecology,0,1.01,1.01,0,0.22,0.46,0.25,0.22
Paenibacillus.borealis,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.19,0.61,0.8,0.24,0.13,0.26,0.14,0.2
Paenibacillus.borealis,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.12,0.76,0.88,0.13,0.14,0.28,0.16,0.18
Paenibacillus.sp.,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.19,0.59,0.79,0.25,0.12,0.23,0.13,0.18
Paenibacillus.sp.,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.22,0.53,0.75,0.3,0.11,0.22,0.12,0.19
pantothenate.high.yeast,Female,Metabolome,Mean relative pantothenate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.33,0.31,0.64,0.51,0.11,0.2,0.11,0.24
pantothenate.low.yeast,Female,Metabolome,Mean relative pantothenate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.36,0.28,0.63,0.56,0.14,0.25,0.13,0.32
paraquat.resistance,Female,Drug response,Mean hours survived when exposed to food medium supplemented with paraquat (20 mM/50ml concentration). Paraquat is a herbicide that facilitates oxidative stress induced mortality. Higher values indicate greater resistance to oxidative stress.,Weber et al (2012) PLOS One,0.41,0.19,0.6,0.68,0.15,0.26,0.14,0.37
paraquat.resistance,Male,Drug response,Mean hours survived when exposed to food medium supplemented with paraquat (20 mM/50ml concentration). Paraquat is a herbicide that facilitates oxidative stress induced mortality. Higher values indicate greater resistance to oxidative stress.,Weber et al (2012) PLOS One,0,1.04,1.04,0,0.24,0.5,0.27,0.23
paraquat.resistance.2021,Male,Drug response,"Mean difference in centimetres climbed in three seconds following vial inversion, after 24 hours of exposure to sucrose or sucrose supplemented with paraquat (200 uM in 1% sucrose solution). Paraquat is a herbicide that causes oxidative stress in D. melanogaster. Higher values indicate greater resistance to paraquat and the effects of oxidative stress.",Lovejoy et al (2021) Molecular Ecology,0.04,0.92,0.96,0.04,0.41,0.83,0.43,0.45
parathion.resistance,Male,Insecticide response,"Mean survival 48 hours after exposure to parathion, an organophosphate pesticide. Higher values indicate greater resistance to parathion.",Duneau et al (2018) G3,0.41,0,0.41,1,0.09,0.14,0.07,0.35
Pectobacterium.carotovorum,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.07,1.07,0,0.17,0.36,0.2,0.16
Pectobacterium.carotovorum,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.03,0.93,0.97,0.04,0.14,0.3,0.17,0.15
PEP.high.yeast,Female,Metabolome,Mean relative PEP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.03,0.94,0.97,0.03,0.2,0.41,0.22,0.21
PEP.low.yeast,Female,Metabolome,Mean relative PEP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.02,0.96,0.98,0.02,0.15,0.31,0.18,0.15
permethrin.knockdown,Female,Insecticide response,"Mean proportion of flies 'knocked down' after 3 hours of exposure to permethrin, a pyrethroid pesticide. Knockdown is a phenotype where the fly lies paralyzed and twitching, or exhibits uncontrolled flight. Higher values indicate greater susceptibility to permethrin.",Battlay et al (2018) G3,0.28,0.43,0.71,0.4,0.14,0.26,0.14,0.26
permethrin.knockdown,Male,Insecticide response,"Mean proportion of flies 'knocked down' after 3 hours of exposure to permethrin, a pyrethroid pesticide. Knockdown is a phenotype where the fly lies paralyzed and twitching, or exhibits uncontrolled flight. Higher values indicate greater susceptibility to permethrin.",Battlay et al (2018) G3,0.3,0.38,0.68,0.44,0.13,0.23,0.13,0.25
permethrin.mortality.24hr,Female,Insecticide response,"Mean mortality after 24 hours of exposure to permethrin, a pyrethroid pesticide. Higher values indicate greater susceptibility to permethrin.",Battlay et al (2018) G3,0.26,0.48,0.74,0.35,0.15,0.28,0.15,0.26
permethrin.mortality.24hr,Male,Insecticide response,"Mean mortality after 24 hours of exposure to permethrin, a pyrethroid pesticide. Higher values indicate greater susceptibility to permethrin.",Battlay et al (2018) G3,0.25,0.49,0.74,0.34,0.14,0.26,0.14,0.24
phenylalanine.high.yeast,Female,Metabolome,Mean relative phenylalanine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.23,0.55,0.78,0.29,0.18,0.35,0.18,0.3
phenylalanine.low.yeast,Female,Metabolome,Mean relative phenylalanine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.2,0.59,0.79,0.26,0.15,0.29,0.16,0.23
phototaxis.mid.age,Female,Activity,Mean phototaxis score measured in 14 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS,0.08,0.85,0.94,0.09,0.13,0.28,0.16,0.15
phototaxis.mid.age,Male,Activity,Mean phototaxis score measured in 14 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS,0.31,0.35,0.67,0.47,0.14,0.25,0.14,0.28
phototaxis.old,Female,Activity,Mean phototaxis score measured in 28 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS,0.09,0.82,0.91,0.1,0.13,0.26,0.15,0.15
phototaxis.old,Male,Activity,Mean phototaxis score measured in 28 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS,0.22,0.55,0.77,0.29,0.13,0.26,0.14,0.22
phototaxis.young,Female,Activity,Mean phototaxis score measured in 7 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS,0.02,0.96,0.98,0.02,0.13,0.28,0.17,0.14
phototaxis.young,Male,Activity,Mean phototaxis score measured in 7 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS,0.12,0.76,0.89,0.14,0.16,0.31,0.18,0.2
pipecolate.high.yeast,Female,Metabolome,Mean relative pipecolate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.03,0.94,0.97,0.03,0.15,0.32,0.18,0.16
pipecolate.low.yeast,Female,Metabolome,Mean relative pipecolate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.34,0.31,0.65,0.52,0.15,0.27,0.14,0.32
Plasmodium.vivax,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.08,0.84,0.92,0.09,0.14,0.28,0.16,0.16
Plasmodium.vivax,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.37,0.27,0.64,0.57,0.16,0.28,0.14,0.35
Podospora.anserina,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.02,1.02,0,0.12,0.26,0.16,0.12
Podospora.anserina,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.28,0.45,0.73,0.39,0.17,0.31,0.16,0.3
posterior.lobe.shape.PC1,Male,Morphological,"Mean PC1 score for posterior lobe shape, calculated from 200 Fourier coefficients. The posterior lobe is a genital structure used to grasp the female oviscape to ensure stable genital coupling. PC1 explains 78% of the variation in shape, and describes the degree of beak-like protrusion at the tip of the posterior lobes. Higher values indicate a greater degree of beak-like postrusion.",Takahara and Takahashi (2015) PLOS One,0.31,0.38,0.69,0.45,0.2,0.37,0.19,0.39
posterior.lobe.shape.PC2,Male,Morphological,"Mean PC2 score for posterior lobe shape, calculated from 200 Fourier coefficients. The posterior lobe is a genital structure used to grasp the female oviscape to ensure stable genital coupling. PC1 explains 10% of the variation in shape, and describes the width of the posterior lobes. Higher values indicate wider lobes.",Takahara and Takahashi (2015) PLOS One,0.34,0.31,0.66,0.52,0.2,0.38,0.19,0.44
posterior.lobe.size,Male,Morphological,"Mean posterior lobe size, measured in pixels. The posterior lobe is a genital structure used to grasp the female oviscape to ensure stable genital coupling. Higher values indicate larger posterior lobes.",Takahara and Takahashi (2015) PLOS One,0.46,0.07,0.53,0.87,0.14,0.24,0.12,0.43
proline.high.yeast,Female,Metabolome,Mean relative proline concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.34,0.32,0.66,0.51,0.16,0.28,0.15,0.33
proline.low.yeast,Female,Metabolome,Mean relative proline concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.16,1.16,0,0.19,0.4,0.23,0.17
Propionibacterium.acidipropionici,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.2,1.2,0,0.16,0.33,0.19,0.13
Propionibacterium.acidipropionici,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.05,0.91,0.95,0.05,0.16,0.32,0.18,0.17
Propionibacterium.acnes,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.16,0.67,0.83,0.2,0.15,0.29,0.16,0.21
Propionibacterium.acnes,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.16,1.16,0,0.18,0.37,0.21,0.16
protein.2015,Male,Metabolome,Estimated mass of soluble protein per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,"Unckless, Rottschaefer and Lazzaro (2015) G3",0.47,0,0.47,1,0.16,0.28,0.14,0.59
protein.anexic,Male,Microbiome,"Mean combined protein content extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher protein content.",Dobson et al (2015) Nature Communications,0,1.42,1.42,0,0.5,0.99,0.52,0.35
protein.gnotobiotic,Male,Microbiome,"Mean combined protein content extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher protein content.",Dobson et al (2015) Nature Communications,0.12,0.76,0.88,0.14,0.17,0.35,0.21,0.22
protein.high.glucose.diet,Male,Metabolome,Mean protein (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of protein.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",0.5,0.03,0.53,0.95,0.18,0.3,0.15,0.56
protein.low.glucose.diet,Male,Metabolome,Mean protein (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of protein.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",0.11,0.77,0.88,0.13,0.2,0.41,0.22,0.26
protein.medium.glucose.diet,Male,Metabolome,Mean protein (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of protein.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics",0.41,0.18,0.59,0.69,0.22,0.41,0.2,0.59
Pseudodonghicola.xiamenensis,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.01,0.98,0.99,0.01,0.15,0.32,0.18,0.16
Pseudodonghicola.xiamenensis,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.05,0.9,0.95,0.06,0.15,0.31,0.18,0.17
Pseudomonas.fuscovaginae,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.06,0.88,0.94,0.07,0.12,0.26,0.15,0.14
Pseudomonas.fuscovaginae,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.02,0.96,0.98,0.02,0.15,0.31,0.18,0.16
Pseudomonas.moraviensis,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.38,0.24,0.63,0.61,0.14,0.25,0.13,0.33
Pseudomonas.moraviensis,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.19,0.62,0.81,0.23,0.15,0.3,0.16,0.23
Pseudomonas.putida,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.1,0.79,0.89,0.12,0.12,0.24,0.14,0.15
Pseudomonas.putida,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.24,0.54,0.77,0.31,0.17,0.33,0.17,0.28
Pseudomonas.sp.,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.28,0.44,0.72,0.39,0.14,0.26,0.14,0.26
Pseudomonas.sp.,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.01,1.01,0,0.15,0.32,0.18,0.15
Pseudomonas.stutzeri,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.24,0.52,0.75,0.31,0.12,0.23,0.13,0.21
Pseudomonas.stutzeri,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.02,0.96,0.98,0.02,0.14,0.29,0.17,0.14
Pseudomonas.syringae,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.3,0.4,0.7,0.43,0.15,0.27,0.14,0.28
Pseudomonas.syringae,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.14,1.14,0,0.14,0.29,0.17,0.12
Psychrobacter.glacincola,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.27,0.46,0.74,0.37,0.16,0.3,0.16,0.29
Psychrobacter.glacincola,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.11,0.79,0.89,0.12,0.16,0.33,0.18,0.2
Psychrobacter.sp.,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.03,1.03,0,0.15,0.31,0.18,0.14
Psychrobacter.sp.,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.07,0.86,0.93,0.08,0.14,0.29,0.17,0.16
putrescine.high.yeast,Female,Metabolome,Mean relative putrescine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.35,0.31,0.66,0.53,0.16,0.29,0.15,0.35
putrescine.low.yeast,Female,Metabolome,Mean relative putrescine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.1,0.79,0.89,0.12,0.14,0.28,0.16,0.17
pyridoxal-5-P.high.yeast,Female,Metabolome,Mean relative pyridoxal-5-P concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.16,1.16,0,0.22,0.45,0.25,0.19
pyridoxal-5-P.low.yeast,Female,Metabolome,Mean relative pyridoxal-5-P concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.13,0.73,0.87,0.15,0.19,0.39,0.21,0.26
